Beds,SqFt,Built,Garage,FullBaths,HalfBaths,LotSqFt,AboveMeanPrice
3,2986,2001,1,2,1,3049,1
3,2802,2005,1,2,1,3049,0
3,2148,2003,1,2,1,2178,0
3,1932,1989,1,2,1,1742,0
3,2168,1991,1,2,1,1742,0
3,1988,1997,1,2,1,1742,0
3,1752,1999,1,2,0,1742,0
3,2026,2002,1,3,1,1742,0
3,2499,2009,1,2,1,0,0
3,1620,2010,1,2,1,0,0
2,1320,2005,1,2,1,0,0
2,1500,2016,1,2,1,0,0
2,1560,2017,1,2,1,0,0
3,2562,2007,1,2,1,10019,0
3,1546,2002,1,2,0,0,0
5,3374,2014,2,4,1,5227,1
4,4381,2005,2,4,1,3920,1
3,3028,2007,2,2,1,3920,0
3,3138,2008,2,2,1,3920,1
3,2560,2014,2,2,1,3920,1
3,2532,1998,2,2,1,3485,1
5,3712,2004,2,4,1,3485,1
3,2944,2014,2,3,1,3049,1
4,3216,2011,2,3,1,2614,1
3,2548,2002,2,3,1,2178,1
3,2390,2003,2,2,1,2178,0
4,2760,2017,2,3,0,2178,1
3,1610,2011,2,3,1,1742,0
3,2238,2016,2,3,1,1742,1
4,2296,2017,2,3,1,1742,1
4,3100,2017,2,3,1,0,1
3,1760,1973,0,2,1,4792,0
4,1678,1973,0,2,1,4356,0
2,870,1984,0,1,0,2614,0
3,2461,1987,0,3,1,2614,0
3,2524,1990,0,3,1,2614,0
3,2040,1998,0,2,1,2614,0
4,1480,1966,0,2,1,2178,0
3,1882,1989,0,3,1,2178,0
4,2320,2000,0,3,1,2178,0
4,2022,1983,0,2,1,1742,0
4,2104,1991,0,3,1,1742,0
3,1780,1992,0,3,1,1742,0
2,1660,2002,0,2,1,1742,0
3,1078,1975,0,1,1,0,0
3,1338,1975,0,2,1,0,0
2,936,1965,0,1,0,0,0
2,1140,1976,0,1,1,0,0
2,1019,1991,0,2,0,0,0
2,917,1991,0,1,0,0,0
2,1121,1993,0,2,0,0,0
2,1031,1993,0,1,1,0,0
2,1082,1994,0,2,0,0,0
2,1380,2000,0,2,0,0,0
2,1082,2001,0,2,0,0,0
1,830,2005,0,1,0,0,0
4,3870,1988,2,4,1,1259755,1
4,3460,2017,2,3,1,4356,1
3,2430,2002,2,3,1,3485,0
4,3156,2011,2,3,1,2178,1
3,2762,2002,2,2,1,2614,1
4,1972,1998,0,3,1,1742,0
2,1566,2004,0,2,1,0,0
4,3379,1995,2,3,1,17860,1
4,2766,1995,2,2,1,9148,1
5,3208,1992,2,3,1,9583,1
4,4136,1996,2,3,1,7405,1
4,3136,1999,2,3,1,6534,1
4,3281,1989,2,3,1,14810,1
4,3552,1988,2,3,1,14375,1
4,3238,1992,2,2,1,12632,1
4,4234,1989,2,3,1,10019,1
4,4978,2012,2,4,1,25265,1
4,5686,2013,2,4,1,12632,1
4,4123,2004,2,4,1,20473,1
5,4125,1994,2,2,1,9583,1
4,4150,1994,2,3,1,9148,1
4,3001,1994,2,3,1,8712,1
4,3776,1995,2,3,1,8712,1
4,3507,1990,2,3,1,10454,1
4,3123,1993,2,3,1,10890,1
4,2322,1993,2,2,1,10019,1
5,11006,2002,3,4,1,132422,1
5,8455,2003,3,5,1,46174,1
5,10256,2001,4,5,1,139392,1
4,4642,2004,2,3,1,8276,1
5,5131,2000,2,4,1,10890,1
4,4621,2002,2,3,1,10890,1
4,4937,2005,2,4,1,10454,1
4,4243,2002,2,3,1,10019,1
5,7501,2002,3,5,1,23087,1
4,6052,2004,3,4,1,13504,1
3,2640,2018,2,3,1,4356,1
4,3808,2009,2,3,1,9148,1
4,4080,2011,2,3,1,8276,1
5,4896,2014,2,4,1,8276,1
5,4134,2011,2,4,1,6534,1
6,4353,2014,2,4,0,6534,1
5,4028,2018,2,4,1,4792,1
4,5063,2005,2,4,1,20473,1
6,4361,2016,2,4,0,10890,1
6,4635,2009,2,4,1,6970,1
4,3729,2003,2,3,1,6098,1
5,3676,2005,2,3,1,10890,1
5,3152,1967,2,2,1,185130,1
4,3457,2004,3,3,1,24829,1
5,4093,1999,2,3,1,8712,1
4,4174,2004,2,3,1,7405,1
4,5323,2004,2,4,1,23522,1
6,4070,1997,2,3,1,13504,1
5,5381,2000,2,4,1,11326,1
4,5119,1999,2,4,1,10019,1
4,5987,2009,3,4,1,32234,1
4,5033,2008,2,4,1,9583,1
4,3660,2008,2,4,1,7405,1
5,6261,2004,2,4,1,16553,1
4,2560,1979,2,3,0,10019,0
